gesture_dir,label,num_frames,height,width
110917,13,37,100,132
30842,3,37,100,176
54795,24,36,100,176
53965,24,37,100,176
9000,3,33,100,176
51514,12,37,100,132
51021,3,36,100,176
142610,24,37,100,132
103976,1,36,100,176
126030,11,32,100,176
114742,14,39,100,176
126222,1,37,100,176
97908,24,37,100,176
129526,27,36,100,132
6679,14,38,100,176
125745,27,37,100,176
7685,13,37,100,132
32132,11,34,100,176
26802,27,37,100,176
29844,12,35,100,176
146920,13,36,100,176
91346,24,37,100,176
91320,11,35,100,176
62543,27,36,100,176
82560,13,37,100,132
12315,1,37,100,176
111160,1,35,100,132
147328,13,35,100,176
2629,24,37,100,132
107643,13,32,100,176
137970,1,35,100,132
27133,15,34,100,132
72566,12,36,100,176
104891,1,35,100,176
103201,15,37,100,176
82518,24,37,100,176
80419,3,36,100,176
69011,27,32,100,132
10300,11,33,100,132
15601,1,37,100,132
37668,15,36,100,176
10847,11,34,100,132
75854,27,33,100,132
74922,11,36,100,176
77164,12,34,100,176
135324,11,36,100,176
26029,13,36,100,176
19893,24,35,100,132
25912,14,36,100,176
66755,27,37,100,176
122032,12,37,100,176
5637,12,33,100,176
15288,1,37,100,176
139642,1,39,100,132
100042,13,35,100,176
62579,13,35,100,176
122416,13,37,100,176
9331,11,38,100,176
53622,27,37,100,176
61051,11,34,100,176
62377,27,37,100,176
134451,24,33,100,176
142038,15,38,100,176
113364,11,37,100,176
137100,14,34,100,132
75320,24,33,100,132
10271,1,38,100,176
123615,11,36,100,176
104556,3,33,100,100
97378,1,36,100,132
48469,12,37,100,176
121504,14,36,100,176
17134,27,36,100,132
61967,3,34,100,176
145366,27,37,100,176
132285,27,34,100,132
106592,13,35,100,132
78213,24,33,100,132
34914,12,32,100,132
27501,27,35,100,176
7026,1,32,100,176
146361,14,33,100,176
9111,14,37,100,176
93340,12,34,100,176
141800,15,36,100,176
88533,1,36,100,176
140987,24,35,100,132
83779,1,36,100,176
86471,12,37,100,176
92943,11,37,100,132
53457,11,37,100,176
68462,1,38,100,176
69920,27,37,100,176
126136,24,37,100,176
134645,13,36,100,176
77129,24,37,100,176
69954,14,37,100,176
122048,15,38,100,176
30583,3,36,100,176
68006,27,37,100,176
64997,15,37,100,176
57199,27,37,100,176
6741,1,37,100,176
362,13,35,100,132
114459,24,37,100,132
63576,11,37,100,176
103336,3,33,100,176
107143,15,38,100,176
17034,3,37,100,176
25891,1,37,100,132
121834,3,36,100,100
68106,12,36,100,132
94300,27,37,100,176
39055,15,37,100,176
24467,27,35,100,132
118135,3,35,100,176
131893,14,34,100,132
119319,15,35,100,132
5285,15,36,100,176
132331,27,37,100,176
4160,14,37,100,176
109596,27,37,100,176
121233,3,37,100,176
91427,12,37,100,176
43456,14,36,100,132
108932,12,37,100,176
14361,1,35,100,176
24450,3,33,100,176
5452,27,36,100,176
53748,11,35,100,176
62279,14,37,100,176
51662,12,36,100,176
94986,24,38,100,176
75950,12,37,100,176
13338,27,37,100,176
115546,13,35,100,132
66986,13,37,100,176
119723,11,37,100,176
34115,27,34,100,132
3408,1,36,100,132
147864,3,37,100,176
34217,1,36,100,176
119715,3,36,100,176
80071,3,37,100,176
66109,3,33,100,132
75568,14,35,100,132
6481,3,36,100,176
22924,27,37,100,132
20963,27,37,100,176
81759,3,37,100,132
