,precision,recall,f1-score,support
7,0.7941176470588235,0.9,0.84375,30.0
8,0.9,0.9,0.9,30.0
9,0.9310344827586207,0.9,0.9152542372881356,30.0
10,0.90625,0.9666666666666667,0.9354838709677419,30.0
17,0.9090909090909091,1.0,0.9523809523809523,30.0
20,0.9642857142857143,0.9,0.9310344827586207,30.0
24,0.9310344827586207,0.9,0.9152542372881356,30.0
26,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
27,0.8333333333333334,0.6666666666666666,0.7407407407407407,30.0
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
macro avg,0.8897618051894862,0.8888888888888888,0.8873730597575299,270.0
weighted avg,0.8897618051894863,0.8888888888888888,0.88737305975753,270.0
